valLiquidado,valPagoRestos,valAnuladoEmpenho,valPagoExercicio,txtRazaoSocial,valLiquidadoRestos,valEmpenhadoLiquido,numCpfCnpj,valTotalEmpenhado,modifiedMode,usuarioOperacao
501317.25,0.0,0.0,501317.25,NOVA JRA EMPREENDIMENTOS E ENGENHARIA LTDA,0.0,4824992.18,44721630000120,4824992.18,5,
0.0,0.0,0.0,0.0,JB CONSTRUCOES E EMPREENDIMENTOS LTDA,0.0,1991176.24,00688529000140,1991176.24,5,
0.0,0.0,0.0,0.0,JNB CONSTRUCOES E SERVICOS LTDA,0.0,300000.0,47061699000163,300000.0,5,
0.0,0.0,0.0,0.0,REP ENGENHARIA E SERVICOS LTDA,0.0,3113599.05,36157982000177,3113599.05,5,
526842.63,0.0,0.0,526842.63,CONSORCIO MBM,0.0,640032.0,50851721000183,640032.0,5,
0.0,0.0,0.0,0.0,H2OBRAS CONSTRUCOES LTDA,0.0,1991023.9,24262722000182,1991023.9,5,
0.0,0.0,0.0,0.0,CONSORCIO HR,0.0,7168346.53,51773856000130,7168346.53,5,
0.0,0.0,0.0,0.0,CONSORCIO UG,0.0,3891533.85,51803790000184,3891533.85,5,
0.0,0.0,0.0,0.0,CONSORCIO SAUDE - PMSP,0.0,1000000.0,51804427000183,1000000.0,5,
0.0,0.0,0.0,0.0,CONSORCIO MAIS SAUDE,0.0,1000000.0,53780577000120,1000000.0,5,
0.0,0.0,0.0,0.0,CONSORCIO LEMAM  CONSITEC  JLA,0.0,1000000.0,53619416000159,1000000.0,5,
11360990.0,0.0,0.0,10846071.92,CONSORCIO RENOVA SAUDE,0.0,11360990.0,55757193000111,11360990.0,5,
0.0,0.0,0.0,0.0,CONSORCIO M9 ENGENHARIA,0.0,1300000.0,58563919000173,1300000.0,5,
3390145.89,0.0,0.0,3390145.89,CONSORCIO MEDINFRA,0.0,10172035.96,63457348000122,10172035.96,5,
14085.9,0.0,0.0,14085.9,JM ENGENHARIA DIAGNOSTICA LTDA,0.0,46953.0,38218230000102,46953.0,5,
0.0,0.0,0.0,0.0,HERSA ENGENHARIA E SERVICOS LTDA,0.0,1000000.0,01376473000150,1000000.0,5,
0.0,0.0,0.0,0.0,DB CONSTRUCOES LTDA,0.0,2487587.67,03101876000112,2487587.67,5,
1490944.34,0.0,0.0,806899.16,BB ENGENHARIA E CONSTRUCOES S A,0.0,2025651.85,03643992000163,2025651.85,5,
0.0,0.0,0.0,0.0,EMPREITEC CONSTRUCOES ELETRICAS LTDA,0.0,1062716.2,33534793000188,1062716.2,5,
390183.44,0.0,0.0,390183.44,SCOPUS CONSTRUTORA & INCORPORADORA LTDA,0.0,1449840.15,49723802000119,1449840.15,5,
0.0,0.0,0.0,0.0,CONSTRUTORA SANDIN LTDA,0.0,2869813.76,51182145000191,2869813.76,5,
601080.85,0.0,10782.84,601080.85,CONSTRUTORA PROGREDIOR LTDA,0.0,601128.46,56838949000110,611911.3,5,
0.0,0.0,0.0,0.0,MACOR ENGENHARIA CONSTRUCOES E COMERCIO SA,0.0,200000.0,57646374000104,200000.0,5,
814863.16,0.0,0.0,458198.34,H E ENGENHARIA COMERCIO E REPRESENTACOES LTDA,0.0,815028.66,62533278000181,815028.66,5,
399390.21,0.0,0.0,399390.21,ALMEIDA SAPATA ENGENHARIA E CONSTRUCOES LTDA,0.0,399390.28,66748955000130,399390.28,5,
1336042.78,0.0,76.07,927581.71,M A S CONSTRUCOES E EMPREENDIMENTOS LIMITADA,0.0,1853179.93,67192609000180,1853256.0,5,
0.0,0.0,0.0,0.0,CODIGO ENGENHARIA E CONSTRUCOES LTDA,0.0,1518183.34,05577367000196,1518183.34,5,
319623.53,0.0,46953.0,319623.53,WEBER CONSULTORIA E ENGENHARIA AMBIENTAL LIMITADA,0.0,1330434.27,06273115000136,1377387.27,5,
0.0,0.0,0.0,0.0,PILAO ENGENHARIA E CONSTRUCOES LTDA,0.0,2000000.0,01294872000172,2000000.0,5,
346580.45,0.0,0.0,346580.45,LEMAM CONSTRUCOES E COMERCIO SA,0.0,1250316.23,04002395000112,1250316.23,5,
0.0,0.0,0.0,0.0,DEKTON ENGENHARIA E CONSTRUCAO LTDA,0.0,4132399.22,06297348000179,4132399.22,5,
0.0,0.0,0.0,0.0,CONSTRUISO ENGENHARIA E EMPREENDIMENTOS LTDA,0.0,2265104.42,04206255000166,2265104.42,5,
533470.04,0.0,0.0,533470.04,SHOP SIGNS OBRAS E SERVICOS LTDA,0.0,1500000.0,02120261000170,1500000.0,5,
0.0,0.0,0.0,0.0,R J C SINALIZACAO URBANA LTDA,0.0,477374.14,12420273000174,477374.14,5,
600000.0,0.0,0.0,600000.0,SOLUCOES SERVICOS TERCEIRIZADOS LTDA,0.0,600000.0,09445502000109,600000.0,5,
0.0,0.0,0.0,0.0,VPP CONSTRUTORA LTDA,0.0,1010383.41,04860624000130,1010383.41,5,
599461.63,0.0,0.0,599461.63,TOWER ENGENHARIA E CONSTRUCAO LTDA,0.0,600000.0,21941290000148,600000.0,5,
0.0,0.0,500000.0,0.0,FP PROJETOS EMPREENDIMENTOS LTDA,0.0,1778903.24,15009784000196,2278903.24,5,
0.0,0.0,0.0,0.0,RODOSERV ENGENHARIA LTDA,0.0,978289.71,15108349000119,978289.71,5,
0.0,0.0,0.0,0.0,ECO PRIME ENGENHARIA LTDA,0.0,300000.0,08068681000131,300000.0,5,
1494084.32,0.0,0.0,861797.97,APENG SERVICOS E CONSTRUCOES LTDA,0.0,1600000.0,30037029000109,1600000.0,5,
1219961.82,0.0,23218.04,1219961.82,TETRABASE  ENGENHARIA E CONSTRUCOES LTDA,0.0,1223027.87,07534937000196,1246245.91,5,
0.0,0.0,0.0,0.0,TERRA NOVA ENGENHARIA E CONSTRUCOES LTDA,0.0,1000000.0,07461206000168,1000000.0,5,
1057248.03,0.0,0.0,1057248.03,UNO HABITACAO SA,0.0,1100000.0,33298127000198,1100000.0,5,
501317.25,0.0,0.0,501317.25,NOVA JRA EMPREENDIMENTOS E ENGENHARIA LTDA,0.0,4824992.18,44721630000120,4824992.18,5,
0.0,0.0,0.0,0.0,JB CONSTRUCOES E EMPREENDIMENTOS LTDA,0.0,1991176.24,00688529000140,1991176.24,5,
0.0,0.0,0.0,0.0,JNB CONSTRUCOES E SERVICOS LTDA,0.0,300000.0,47061699000163,300000.0,5,
0.0,0.0,0.0,0.0,REP ENGENHARIA E SERVICOS LTDA,0.0,3113599.05,36157982000177,3113599.05,5,
526842.63,0.0,0.0,526842.63,CONSORCIO MBM,0.0,640032.0,50851721000183,640032.0,5,
0.0,0.0,0.0,0.0,H2OBRAS CONSTRUCOES LTDA,0.0,1991023.9,24262722000182,1991023.9,5,
0.0,0.0,0.0,0.0,CONSORCIO HR,0.0,7168346.53,51773856000130,7168346.53,5,
0.0,0.0,0.0,0.0,CONSORCIO UG,0.0,3891533.85,51803790000184,3891533.85,5,
0.0,0.0,0.0,0.0,CONSORCIO SAUDE - PMSP,0.0,1000000.0,51804427000183,1000000.0,5,
0.0,0.0,0.0,0.0,CONSORCIO MAIS SAUDE,0.0,1000000.0,53780577000120,1000000.0,5,
0.0,0.0,0.0,0.0,CONSORCIO LEMAM  CONSITEC  JLA,0.0,1000000.0,53619416000159,1000000.0,5,
11360990.0,0.0,0.0,10846071.92,CONSORCIO RENOVA SAUDE,0.0,11360990.0,55757193000111,11360990.0,5,
0.0,0.0,0.0,0.0,CONSORCIO M9 ENGENHARIA,0.0,1300000.0,58563919000173,1300000.0,5,
3390145.89,0.0,0.0,3390145.89,CONSORCIO MEDINFRA,0.0,10172035.96,63457348000122,10172035.96,5,
14085.9,0.0,0.0,14085.9,JM ENGENHARIA DIAGNOSTICA LTDA,0.0,46953.0,38218230000102,46953.0,5,
0.0,0.0,0.0,0.0,HERSA ENGENHARIA E SERVICOS LTDA,0.0,1000000.0,01376473000150,1000000.0,5,
0.0,0.0,0.0,0.0,DB CONSTRUCOES LTDA,0.0,2487587.67,03101876000112,2487587.67,5,
1490944.34,0.0,0.0,806899.16,BB ENGENHARIA E CONSTRUCOES S A,0.0,2025651.85,03643992000163,2025651.85,5,
0.0,0.0,0.0,0.0,EMPREITEC CONSTRUCOES ELETRICAS LTDA,0.0,1062716.2,33534793000188,1062716.2,5,
390183.44,0.0,0.0,390183.44,SCOPUS CONSTRUTORA & INCORPORADORA LTDA,0.0,1449840.15,49723802000119,1449840.15,5,
0.0,0.0,0.0,0.0,CONSTRUTORA SANDIN LTDA,0.0,2869813.76,51182145000191,2869813.76,5,
601080.85,0.0,10782.84,601080.85,CONSTRUTORA PROGREDIOR LTDA,0.0,601128.46,56838949000110,611911.3,5,
0.0,0.0,0.0,0.0,MACOR ENGENHARIA CONSTRUCOES E COMERCIO SA,0.0,200000.0,57646374000104,200000.0,5,
814863.16,0.0,0.0,458198.34,H E ENGENHARIA COMERCIO E REPRESENTACOES LTDA,0.0,815028.66,62533278000181,815028.66,5,
399390.21,0.0,0.0,399390.21,ALMEIDA SAPATA ENGENHARIA E CONSTRUCOES LTDA,0.0,399390.28,66748955000130,399390.28,5,
1336042.78,0.0,76.07,927581.71,M A S CONSTRUCOES E EMPREENDIMENTOS LIMITADA,0.0,1853179.93,67192609000180,1853256.0,5,
0.0,0.0,0.0,0.0,CODIGO ENGENHARIA E CONSTRUCOES LTDA,0.0,1518183.34,05577367000196,1518183.34,5,
319623.53,0.0,46953.0,319623.53,WEBER CONSULTORIA E ENGENHARIA AMBIENTAL LIMITADA,0.0,1330434.27,06273115000136,1377387.27,5,
0.0,0.0,0.0,0.0,PILAO ENGENHARIA E CONSTRUCOES LTDA,0.0,2000000.0,01294872000172,2000000.0,5,
346580.45,0.0,0.0,346580.45,LEMAM CONSTRUCOES E COMERCIO SA,0.0,1250316.23,04002395000112,1250316.23,5,
0.0,0.0,0.0,0.0,DEKTON ENGENHARIA E CONSTRUCAO LTDA,0.0,4132399.22,06297348000179,4132399.22,5,
0.0,0.0,0.0,0.0,CONSTRUISO ENGENHARIA E EMPREENDIMENTOS LTDA,0.0,2265104.42,04206255000166,2265104.42,5,
533470.04,0.0,0.0,533470.04,SHOP SIGNS OBRAS E SERVICOS LTDA,0.0,1500000.0,02120261000170,1500000.0,5,
0.0,0.0,0.0,0.0,R J C SINALIZACAO URBANA LTDA,0.0,477374.14,12420273000174,477374.14,5,
600000.0,0.0,0.0,600000.0,SOLUCOES SERVICOS TERCEIRIZADOS LTDA,0.0,600000.0,09445502000109,600000.0,5,
0.0,0.0,0.0,0.0,VPP CONSTRUTORA LTDA,0.0,1010383.41,04860624000130,1010383.41,5,
599461.63,0.0,0.0,599461.63,TOWER ENGENHARIA E CONSTRUCAO LTDA,0.0,600000.0,21941290000148,600000.0,5,
0.0,0.0,500000.0,0.0,FP PROJETOS EMPREENDIMENTOS LTDA,0.0,1778903.24,15009784000196,2278903.24,5,
0.0,0.0,0.0,0.0,RODOSERV ENGENHARIA LTDA,0.0,978289.71,15108349000119,978289.71,5,
0.0,0.0,0.0,0.0,ECO PRIME ENGENHARIA LTDA,0.0,300000.0,08068681000131,300000.0,5,
1494084.32,0.0,0.0,861797.97,APENG SERVICOS E CONSTRUCOES LTDA,0.0,1600000.0,30037029000109,1600000.0,5,
1219961.82,0.0,23218.04,1219961.82,TETRABASE  ENGENHARIA E CONSTRUCOES LTDA,0.0,1223027.87,07534937000196,1246245.91,5,
0.0,0.0,0.0,0.0,TERRA NOVA ENGENHARIA E CONSTRUCOES LTDA,0.0,1000000.0,07461206000168,1000000.0,5,
1057248.03,0.0,0.0,1057248.03,UNO HABITACAO SA,0.0,1100000.0,33298127000198,1100000.0,5,
501317.25,0.0,0.0,501317.25,NOVA JRA EMPREENDIMENTOS E ENGENHARIA LTDA,0.0,4824992.18,44721630000120,4824992.18,5,
0.0,0.0,0.0,0.0,JB CONSTRUCOES E EMPREENDIMENTOS LTDA,0.0,1991176.24,00688529000140,1991176.24,5,
0.0,0.0,0.0,0.0,JNB CONSTRUCOES E SERVICOS LTDA,0.0,300000.0,47061699000163,300000.0,5,
0.0,0.0,0.0,0.0,REP ENGENHARIA E SERVICOS LTDA,0.0,3113599.05,36157982000177,3113599.05,5,
526842.63,0.0,0.0,526842.63,CONSORCIO MBM,0.0,640032.0,50851721000183,640032.0,5,
0.0,0.0,0.0,0.0,H2OBRAS CONSTRUCOES LTDA,0.0,1991023.9,24262722000182,1991023.9,5,
0.0,0.0,0.0,0.0,CONSORCIO HR,0.0,7168346.53,51773856000130,7168346.53,5,
0.0,0.0,0.0,0.0,CONSORCIO UG,0.0,3891533.85,51803790000184,3891533.85,5,
0.0,0.0,0.0,0.0,CONSORCIO SAUDE - PMSP,0.0,1000000.0,51804427000183,1000000.0,5,
0.0,0.0,0.0,0.0,CONSORCIO MAIS SAUDE,0.0,1000000.0,53780577000120,1000000.0,5,
0.0,0.0,0.0,0.0,CONSORCIO LEMAM  CONSITEC  JLA,0.0,1000000.0,53619416000159,1000000.0,5,
11360990.0,0.0,0.0,10846071.92,CONSORCIO RENOVA SAUDE,0.0,11360990.0,55757193000111,11360990.0,5,
0.0,0.0,0.0,0.0,CONSORCIO M9 ENGENHARIA,0.0,1300000.0,58563919000173,1300000.0,5,
3390145.89,0.0,0.0,3390145.89,CONSORCIO MEDINFRA,0.0,10172035.96,63457348000122,10172035.96,5,
14085.9,0.0,0.0,14085.9,JM ENGENHARIA DIAGNOSTICA LTDA,0.0,46953.0,38218230000102,46953.0,5,
